"BottleState","Barcode","iWine","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Varietal","MasterVarietal","Designation","Vineyard","Quantity","BottleSize","Location","Bin","Store","PurchaseDate","DeliveryDate","BottleCost","BottleCostCurrency","BottleNote","PurchaseNote","ConsumptionDate","ConsumptionType","ShortType","ConsumptionNote","ConsumptionRevenue","ConsumptionRevenueCurrency","BeginConsume","EndConsume"
"0","0116412068","2828334","2013","Bodegas Beronia Rioja Reserva","Spain, La Rioja, La Rioja Alta, Rioja","Spain","La Rioja","La Rioja Alta","Rioja","Bodegas Beronia","Beronia, Bodegas ","Red","Tempranillo Blend","Tempranillo","Reserva","Unknown","1","750ml","Cellar","","Eckerölinjen","2019-08-05","2019-08-05","129","SEK","","","2020-02-01","Drank from my cellar","Drank","","","","2018","2022"
"0","0130598895","1581731","2005","Enzo Boglietti Barolo Riserva","Italy, Piedmont, Langhe, Barolo","Italy","Piedmont","Langhe","Barolo","Enzo Boglietti","Boglietti, Enzo ","Red","Nebbiolo","Nebbiolo","Riserva","Unknown","1","750ml","Vinkyl (66 fl)","2","tobias","2020-06-25","2020-06-25","0","SEK","","","2022-06-04","Drank from my cellar","Drank","Med Silvia, mamma, pappa, Irene och Tommy i Vikarbyn","","","2022","2032"
"0","0116553106","3052537","2016","Brigaldara Valpolicella Case Vecie","Italy, Veneto, Valpolicella","Italy","Veneto","Valpolicella","Valpolicella","Brigaldara","Brigaldara","Red","Corvina Blend","Corvina","Unknown","Case Vecie","1","750ml","Cellar","","Italy","2019-08-08","2019-08-08","0","SEK","","","2020-08-15","Drank from my cellar","Drank","Med Olof","","","2017","2021"
"0","0116555971","3054317","2017","Ca' del Baio Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Ca' del Baio","Ca' del Baio","Red","Nebbiolo","Nebbiolo","Unknown","Unknown","1","750ml","Vinkyl (66 fl)","","Italy","2019-08-08","2019-08-08","0","SEK","","","2020-01-04","Drank from my cellar","Drank","Middag med Stefan och Olof","","","2018","2020"
"0","0116554239","2929703","2016","Ca' del Baio Langhe Nebbiolo Bric del Baio","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Ca' del Baio","Ca' del Baio","Red","Nebbiolo","Nebbiolo","Bric del Baio","Unknown","1","750ml","Cellar","","Systembolaget","2019-08-08","2019-08-08","0","SEK","","","2022-08-11","Missing or presumed drunk","Missing","","","","2021","2027"
"0","0151847100","2251382","1001","Cascina Ca'Rossa Alba Vino Rosato","Italy, Piedmont, Alba","Italy","Piedmont","Alba","Alba","Cascina Ca'Rossa","Ca'Rossa, Cascina ","Rosé","Nebbiolo","Nebbiolo","Vino Rosato","Unknown","1","750ml","Cellar","","Winery","2021-10-03","2021-10-03","0","SEK","","","2022-08-11","Drank from my cellar","Drank","","","","",""
"0","0093174276","1387141","2006","Capezzana Carmignano Villa di Capezzana","Italy, Tuscany, Carmignano","Italy","Tuscany","Unknown","Carmignano","Capezzana","Capezzana","Red","Sangiovese Blend","Sangiovese","Villa di Capezzana","Unknown","1","750ml","Vinkyl (66 fl)","","Systembolaget","2017-10-26","2017-10-26","0","SEK","","","2019-08-23","Drank from my cellar","Drank","Middag med Kristina, Magnus och Milo","","","9999","2019"
"0","0093174630","2159411","2011","Casalvento Chianti Classico","Italy, Tuscany, Chianti, Chianti Classico DOCG","Italy","Tuscany","Chianti","Chianti Classico DOCG","Casalvento","Casalvento","Red","Sangiovese","Sangiovese","Unknown","Unknown","1","750ml","Vinkyl (66 fl)","","Italy","2017-10-26","2017-10-26","0","SEK","","","2022-09-30","Drank from my cellar","Drank","","","","2016","2022"
"0","0100400862","1829041","2008","Château Castera","France, Bordeaux, Médoc","France","Bordeaux","Médoc","Médoc","Château Castera","Castera, Château ","Red","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","1","750ml","Unknown","","Systembolaget","2018-05-05","2018-05-05","0","SEK","","","2019-08-23","Missing or presumed drunk","Missing","","","","2014","2018"
"0","0116411088","616827","2003","La Chablisienne Chablis 1er Cru Fourchaume","France, Burgundy, Chablis, Chablis 1er Cru","France","Burgundy","Chablis","Chablis 1er Cru","La Chablisienne","Chablisienne, La ","White","Chardonnay","Chardonnay","Unknown","Fourchaume","1","750ml","Vinkyl (66 fl)","1","Systembolaget","2019-08-05","2019-08-05","0","SEK","Drink soon!","","2020-02-07","Drank from my cellar","Drank","Middag med Silvia, mamma och pappa","","","2006","2014"
"0","0093175107","1059696","1001","André Clouet Champagne Silver Brut Nature","France, Champagne","France","Champagne","Unknown","Champagne","André Clouet","Clouet, André ","White - Sparkling","Pinot Noir","Pinot Noir","Silver Brut Nature","Unknown","1","750ml","Cellar","","Systembolaget","2017-10-26","2017-10-26","0","SEK","","Wedding gift","2018-05-30","Drank from my cellar","Drank","Födelsedagsfirande med Silvia Kristina och Robin","","","2018","2022"
"0","0118044092","3332862","2015","Collina dei Lecci Vermentino Donnaberta Toscana IGT","Italy, Tuscany, Toscana IGT","Italy","Tuscany","Unknown","Toscana IGT","Collina dei Lecci","Collina dei Lecci","White","Vermentino","Vermentino","Donnaberta","Unknown","1","750ml","Vinkyl (66 fl)","1","Italy","2019-09-06","2019-09-06","0","SEK","","Montalcino","2022-11-10","Drank from my cellar","Drank","","","","",""
"0","0116553187","3373715","2014","Corte Zardini Valpolicella Classico Superiore Siresol","Italy, Veneto, Valpolicella, Valpolicella Classico Superiore","Italy","Veneto","Valpolicella","Valpolicella Classico Superiore","Corte Zardini","Corte Zardini","Red","Corvina Blend","Corvina","Siresol","Unknown","1","750ml","Cellar","","Italy","2019-08-08","2019-08-08","0","SEK","","","2020-07-30","Drank from my cellar","Drank","Åland","","","",""
"0","0116411273","3271303","2018","Domaine Delaporte Sancerre Chavignol","France, Loire Valley, Upper Loire, Sancerre","France","Loire Valley","Upper Loire","Sancerre","Domaine Delaporte","Delaporte, Domaine ","White","Sauvignon Blanc","Sauvignon Blanc","Unknown","Chavignol","1","750ml","Cellar","","Caviste","2019-08-05","2019-08-05","0","SEK","","","2020-07-27","Drank from my cellar","Drank","Åland","","","2019","2023"
"0","0116411471","3271302","2018","Domaine Delaporte Sancerre Rosé Chavignol","France, Loire Valley, Upper Loire, Sancerre","France","Loire Valley","Upper Loire","Sancerre","Domaine Delaporte","Delaporte, Domaine ","Rosé","Pinot Noir","Pinot Noir","Rosé","Chavignol","1","750ml","Cellar","","Caviste","2019-08-05","2019-08-05","0","SEK","","","2020-02-01","Drank from my cellar","Drank","","","","2019","2022"
"0","0116411470","3271302","2018","Domaine Delaporte Sancerre Rosé Chavignol","France, Loire Valley, Upper Loire, Sancerre","France","Loire Valley","Upper Loire","Sancerre","Domaine Delaporte","Delaporte, Domaine ","Rosé","Pinot Noir","Pinot Noir","Rosé","Chavignol","1","750ml","Cellar","","Caviste","2019-08-05","2019-08-05","0","SEK","","","2020-01-25","Drank from my cellar","Drank","Coravin","","","2019","2022"
"0","0116411313","2981248","2017","Domaine Delaporte Sancerre Silex","France, Loire Valley, Upper Loire, Sancerre","France","Loire Valley","Upper Loire","Sancerre","Domaine Delaporte","Delaporte, Domaine ","White","Sauvignon Blanc","Sauvignon Blanc","Silex","Unknown","1","750ml","Cellar","","Caviste","2019-08-05","2019-08-05","0","SEK","","","2019-08-05","Drank from my cellar","Drank","Åland på bryggan med Silvia.","","","2019","2024"
"0","0097641997","2661753","2016","Dönnhoff Riesling trocken","Germany, Nahe","Germany","Nahe","Unknown","Unknown","Dönnhoff","Dönnhoff","White","Riesling","Riesling","trocken","Unknown","1","750ml","Cellar","","Systembolaget","2018-02-17","2018-02-17","0","SEK","","","2022-09-13","Missing or presumed drunk","Missing","","","","2018","2021"
"0","0116411350","3111674","2017","Domaine R. DuBois & Fils Bourgogne Hautes-Côtes de Beaune Les Montbatois","France, Burgundy, Bourgogne Hautes-Côtes de Beaune","France","Burgundy","Unknown","Bourgogne Hautes-Côtes de Beaune","Domaine R. DuBois & Fils","DuBois & Fils, Domaine R. ","White","Chardonnay","Chardonnay","Les Montbatois","Unknown","1","750ml","Cellar","","Systembolaget","2019-08-02","2019-08-02","179","SEK","","","2022-11-10","Missing or presumed drunk","Missing","","","","2019","2024"
"0","0130574788","1762323","2007","Germano Ettore Barolo","Italy, Piedmont, Langhe, Barolo","Italy","Piedmont","Langhe","Barolo","Germano Ettore","Ettore, Germano ","Red","Nebbiolo","Nebbiolo","Unknown","Unknown","1","750ml","Vinkyl (66 fl)","7","Viking Line","2020-01-26","2020-01-26","0","SEK","","","2021-02-13","Drank from my cellar","Drank","","","","2018","2020"
"0","0116411608","2788780","2015","Faiveley Bourgogne Blanc","France, Burgundy, Bourgogne Blanc","France","Burgundy","Unknown","Bourgogne Blanc","Faiveley","Faiveley","White","Chardonnay","Chardonnay","Unknown","Unknown","1","750ml","Kylskåp","","Viking Line","2019-08-05","2019-08-05","0","SEK","Coravin 2019-12-02","","2020-02-01","Drank from my cellar","Drank","","","","2018","2020"
"0","0116411198","2907264","2016","Domaine Frantz Chagnoleau Pouilly-Fuissé Pastoral","France, Burgundy, Mâconnais, Pouilly-Fuissé","France","Burgundy","Mâconnais","Pouilly-Fuissé","Domaine Frantz Chagnoleau","Frantz Chagnoleau, Domaine ","White","Chardonnay","Chardonnay","Pastoral","Unknown","1","750ml","Vinkyl (66 fl)","3","Systembolaget","2019-08-05","2019-08-05","0","SEK","","","2022-11-10","Drank from my cellar","Drank","","","","",""
"0","0093173899","2819386","2014","Azienda Agricola G. Milazzo Sicilia Terre della Baronia","Italy, Sicily, Sicilia","Italy","Sicily","Unknown","Sicilia","Azienda Agricola G. Milazzo","G. Milazzo, Azienda Agricola ","Red","Red Blend","Red Blend","Terre della Baronia","Unknown","1","750ml","Cellar","","Italy","2017-10-26","2017-10-26","0","SEK","","","2022-08-23","Drank from my cellar","Drank","","","","",""
"0","0116410860","3300231","2017","Girolamo Russo Etna 'a Rina","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Girolamo Russo","Girolamo Russo","Red","Nerello Blend","Nerello Mascalese","'a Rina","Unknown","1","750ml","Cellar","Vägg 1","Systembolaget","2019-08-05","2019-08-05","0","SEK","","","2022-08-23","Missing or presumed drunk","Missing","","","","2020","2025"
"0","0116410859","3300231","2017","Girolamo Russo Etna 'a Rina","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Girolamo Russo","Girolamo Russo","Red","Nerello Blend","Nerello Mascalese","'a Rina","Unknown","1","750ml","Cellar","","Systembolaget","2019-08-05","2019-08-05","0","SEK","","","2019-07-11","Drank from my cellar","Drank","Had with Liljegrens from Skåne. Amazing wine.","","","2020","2025"
"0","0123979906","3300231","2017","Girolamo Russo Etna 'a Rina","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Girolamo Russo","Girolamo Russo","Red","Nerello Blend","Nerello Mascalese","'a Rina","Unknown","1","750ml","Förråd","","Systembolaget","2020-01-30","2020-01-30","219","SEK","","Delade en låda på 6 med Mats och Philip","2020-07-28","Drank from my cellar","Drank","Åland","","","2020","2025"
"0","0133809204","3730011","2018","Girolamo Russo Etna 'a Rina","Italy, Sicily, Etna DOC","Italy","Sicily","Unknown","Etna DOC","Girolamo Russo","Girolamo Russo","Red","Nerello Blend","Nerello Mascalese","'a Rina","Unknown","1","750ml","Cellar","Vägg 1","Systembolaget","2020-09-15","2020-09-15","214","SEK","","Tillfälligt sortiment","2022-08-23","Missing or presumed drunk","Missing","","","","2020","2025"
"0","0130574867","3390819","2017","Giacomo Grimaldi Nebbiolo d'Alba Valmaggiore","Italy, Piedmont, Alba, Nebbiolo d'Alba","Italy","Piedmont","Alba","Nebbiolo d'Alba","Giacomo Grimaldi","Grimaldi, Giacomo ","Red","Nebbiolo","Nebbiolo","Valmaggiore","Unknown","1","750ml","Cellar","","Systembolaget","2020-06-24","2020-06-24","0","SEK","","","2022-08-11","Missing or presumed drunk","Missing","","","","2022","2027"
"0","0118687772","3228037","2017","Weingut Heymann-Löwenstein Winninger Uhlen Riesling ""L"" Laubach","Germany, Mosel Saar Ruwer","Germany","Mosel Saar Ruwer","Unknown","Unknown","Weingut Heymann-Löwenstein","Heymann-Löwenstein, Weingut ","White","Riesling","Riesling","""L"" Laubach","Winninger Uhlen","1","750ml","Förråd","","Systembolaget","2019-10-04","2019-12-06","289","SEK","","Tillfälligt sortiment","2022-11-10","Missing or presumed drunk","Missing","","","","2020","2027"
"0","0104754392","3006318","2016","Johann Schwarz The Butcher Cuvée","Austria, Burgenland, Neusiedlersee","Austria","Burgenland","Neusiedlersee","Unknown","Johann Schwarz","Johann Schwarz","Red","Red Blend","Red Blend","The Butcher","Cuvée","1","750ml","Cellar","","Systembolaget","2018-09-17","2018-09-29","159","SEK","","BS","2019-08-05","Drank from my cellar","Drank","","","","2018","2025"
"0","0116411141","2954966","2015","Jules Desjourneys Mâcon-Verzé","France, Burgundy, Mâconnais, Mâcon-Verzé","France","Burgundy","Mâconnais","Mâcon-Verzé","Jules Desjourneys","Jules Desjourneys","White","Chardonnay","Chardonnay","Unknown","Unknown","1","750ml","Cellar","","Systembolaget","2018-11-01","2018-11-01","0","SEK","","","2018-12-31","Drank from my cellar","Drank","New years with Kristina and Magnus. Very good wine!","","","2020","2023"
"0","0116411874","3217798","2017","Julien Schaal Riesling Schoenenbourg Gypse","France, Alsace, Alsace Grand Cru","France","Alsace","Unknown","Alsace Grand Cru","Julien Schaal","Julien Schaal","White","Riesling","Riesling","Gypse","Schoenenbourg","1","750ml","Cellar","","Eckerölinjen","2019-08-05","2019-08-05","0","SEK","","","2019-08-21","Drank from my cellar","Drank","Silvia & Frida","","","2020","2027"
"0","0135577888","3785147","2019","Weingut Keller Riesling Kabinett ""Limestone"" Goldkapsel","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","Riesling","Riesling","Kabinett ""Limestone"" Goldkapsel","Unknown","1","750ml","Förråd","","Systembolaget","2020-10-20","2020-10-20","229","SEK","","Tillfälligt sortiment","2022-11-10","Missing or presumed drunk","Missing","","","","2022","2035"
"0","0135577887","3785147","2019","Weingut Keller Riesling Kabinett ""Limestone"" Goldkapsel","Germany, Rheinhessen","Germany","Rheinhessen","Unknown","Unknown","Weingut Keller","Keller, Weingut ","White","Riesling","Riesling","Kabinett ""Limestone"" Goldkapsel","Unknown","1","750ml","Förråd","","Systembolaget","2020-10-20","2020-10-20","229","SEK","","Tillfälligt sortiment","2022-11-10","Missing or presumed drunk","Missing","","","","2022","2035"
"0","0116411936","2836913","2016","Peter Lehmann Shiraz Barossa","Australia, South Australia, Barossa","Australia","South Australia","Barossa","Barossa","Peter Lehmann","Lehmann, Peter ","Red","Shiraz","Syrah","Unknown","Unknown","1","750ml","Cellar","","Systembolaget","2019-08-05","2019-08-05","0","SEK","","","2019-06-25","Drank from my cellar","Drank","","","","2018","2020"
"0","0116412108","2910668","2016","François Lumpp Givry 1er Cru Crausot Blanc","France, Burgundy, Côte Chalonnaise, Givry 1er Cru","France","Burgundy","Côte Chalonnaise","Givry 1er Cru","François Lumpp","Lumpp, François ","White","Chardonnay","Chardonnay","Blanc","Crausot","1","750ml","Vinkyl (66 fl)","1","Systembolaget","2019-08-05","2019-08-05","0","SEK","","","2022-11-10","Missing or presumed drunk","Missing","","","","2021","2026"
"0","0097642122","2577774","2014","Marqués de Griñón Rioja Crianza","Spain, La Rioja, Rioja","Spain","La Rioja","Unknown","Rioja","Marqués de Griñón","Marqués de Griñón","Red","Tempranillo","Tempranillo","Crianza","Unknown","1","750ml","Unknown","","Tenerife","2018-02-17","2018-02-17","0","SEK","","","2019-08-23","Missing or presumed drunk","Missing","","","","",""
"0","0101760937","2630881","2013","Marqués de Riscal Rioja Reserva","Spain, La Rioja, La Rioja Alavesa, Rioja","Spain","La Rioja","La Rioja Alavesa","Rioja","Marqués de Riscal","Marqués de Riscal","Red","Tempranillo Blend","Tempranillo","Reserva","Unknown","1","750ml","Cellar","","Eckerölinjen","2018-06-17","2018-06-17","109","SEK","","","2019-08-09","Drank from my cellar","Drank","","","","2018","2023"
"0","0093174492","2819397","2012","Cascina del Monastero Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Cascina del Monastero","Monastero, Cascina del ","Red","Nebbiolo","Nebbiolo","Unknown","Unknown","1","750ml","Cellar","","Italy","2017-10-26","2017-10-26","0","SEK","","","2022-08-11","Drank from my cellar","Drank","","","","",""
"0","0097642027","561040","1994","Bodegas Montecillo Rioja Gran Reserva Seleccion Especial","Spain, La Rioja, Rioja","Spain","La Rioja","Unknown","Rioja","Bodegas Montecillo","Montecillo, Bodegas ","Red","Tempranillo","Tempranillo","Gran Reserva Seleccion Especial","Unknown","1","750ml","Cellar","","Systembolaget","2018-02-16","2018-02-16","299","SEK","","","2018-03-10","Drank from my cellar","Drank","Vinprovning","","","2010","2021"
"0","0100400816","2752971","2015","Ojai Pinot Noir Santa Barbara County","USA, California, Central Coast, Santa Barbara County","USA","California","Central Coast","Santa Barbara County","Ojai","Ojai","Red","Pinot Noir","Pinot Noir","Unknown","Unknown","1","750ml","Cellar","","Systembolaget","2018-04-06","2018-04-06","299","SEK","","","2022-08-29","Missing or presumed drunk","Missing","","","","2018","2023"
"0","0118044360","3404198","2018","Azienda Agricola Ressia Dolcetto d'Alba Canova","Italy, Piedmont, Alba, Dolcetto d'Alba","Italy","Piedmont","Alba","Dolcetto d'Alba","Azienda Agricola Ressia","Ressia, Azienda Agricola ","Red","Dolcetto","Dolcetto","Unknown","Canova","1","750ml","Vinkyl (66 fl)","2","Italy","2019-09-09","2019-09-09","0","SEK","","At winery","2022-08-11","Missing or presumed drunk","Missing","","","","",""
"0","0118045250","3404236","2016","Azienda Agricola Ressia Langhe Nebbiolo Gepù","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Azienda Agricola Ressia","Ressia, Azienda Agricola ","Red","Nebbiolo","Nebbiolo","Gepù","Unknown","1","750ml","Förråd","","Italy","2019-09-09","2019-09-15","0","SEK","","At winery","2022-08-11","Missing or presumed drunk","Missing","","","","2020","2023"
"0","0118044170","3404191","2017","Azienda Agricola Ressia Moscato d'Asti Evien","Italy, Piedmont, Asti, Moscato d'Asti","Italy","Piedmont","Asti","Moscato d'Asti","Azienda Agricola Ressia","Ressia, Azienda Agricola ","White - Sparkling","Moscato","Muscat","Evien","Unknown","1","750ml","Vinkyl (66 fl)","1","Italy","2019-09-09","2019-09-09","0","SEK","","At winery","2022-08-29","Drank from my cellar","Drank","","","","",""
"0","0093174356","2525439","2015","Rocche Costamagna Langhe Nebbiolo Roccardo","Italy, Piedmont, Langhe, Langhe DOC","Italy","Piedmont","Langhe","Langhe DOC","Rocche Costamagna","Rocche Costamagna","Red","Nebbiolo","Nebbiolo","Roccardo","Unknown","1","750ml","Vinkyl (66 fl)","","Italy","2017-10-26","2017-10-26","0","SEK","","","2020-08-22","Drank from my cellar","Drank","I Nolsterby med Kristina och Magnus","","","2018","2021"
"0","0116556118","2580771","2015","J. Rochioli Pinot Noir Russian River Valley","USA, California, Sonoma County, Russian River Valley","USA","California","Sonoma County","Russian River Valley","J. Rochioli","Rochioli, J. ","Red","Pinot Noir","Pinot Noir","Unknown","Unknown","1","750ml","Vinkyl (66 fl)","7","Systembolaget","2019-08-08","2019-08-08","0","SEK","","","2020-05-18","Drank from my cellar","Drank","Med Mats","","","2019","2025"
"0","0116411391","3125371","2016","Sandhi Wines Chardonnay Sta. Rita Hills","USA, California, Central Coast, Sta. Rita Hills","USA","California","Central Coast","Sta. Rita Hills","Sandhi Wines","Sandhi Wines","White","Chardonnay","Chardonnay","Unknown","Unknown","1","750ml","Cellar","","Systembolaget","2019-06-07","2019-06-07","299","SEK","","","2019-06-08","Drank from my cellar","Drank","Åland med Silvia","","","2020","2024"
"0","0093173833","2810694","2015","Tenuta Sant'Antonio Ripasso della Valpolicella Superiore Monti Garbi","Italy, Veneto, Valpolicella, Ripasso della Valpolicella Superiore","Italy","Veneto","Valpolicella","Ripasso della Valpolicella Superiore","Tenuta Sant'Antonio","Sant'Antonio, Tenuta ","Red","Corvina Blend","Corvina","Monti Garbi","Unknown","1","750ml","Cellar","","Systembolaget","2017-10-26","2017-10-26","119","SEK","","","2018-02-07","Drank from my cellar","Drank","","","","2019","2021"
"0","0104754398","3098448","1996","Scarpa Barbera d'Asti I Bricchi","Italy, Piedmont, Asti, Barbera d'Asti","Italy","Piedmont","Asti","Barbera d'Asti","Scarpa","Scarpa","Red","Barbera","Barbera","Unknown","I Bricchi","1","750ml","Vinkyl (66 fl)","3","Systembolaget","2018-09-21","2018-09-21","279","SEK","","Små partier","2020-06-20","Drank from my cellar","Drank","Pappas födelsedag i Nolsterby till Picanha","","","2018","2021"
"0","0116552314","3050435","2017","Paolo Scavino Dolcetto d'Alba","Italy, Piedmont, Alba, Dolcetto d'Alba","Italy","Piedmont","Alba","Dolcetto d'Alba","Paolo Scavino","Scavino, Paolo ","Red","Dolcetto","Dolcetto","Unknown","Unknown","1","750ml","Kök","","Italy","2018-07-23","2018-07-23","10,5","EUR","","","2021-03-06","Drank from my cellar","Drank","","","","","2021"
